Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
81,Anthony Edwards,23,MIN,SG,54,54,1983,19.4,0.587,0.488,0.283,2.4,14.9,8.8,21.2,1.6,1.6,12.9,31.7,2.5,2.7,5.1,0.124,4,-0.1,3.9,2.9,
82,Bennedict Mathurin,22,IND,SF,51,44,1607,13.6,0.586,0.341,0.341,4.5,15.5,10.1,8.5,0.9,1.1,11.6,22,1.2,1,2.2,0.065,-1.1,-1.9,-3,-0.4,
83,Donovan Mitchell,28,CLE,SG,51,51,1596,21.2,0.586,0.497,0.224,2.5,12.4,7.6,23,2.2,0.6,8.9,30.5,3.6,2,5.6,0.167,4.1,-0.2,3.8,2.4,
84,Joel Embiid,30,PHI,C,17,17,516,24.9,0.586,0.235,0.526,7.1,26.3,16.3,26.6,1.3,3.3,13.6,35.7,1,0.6,1.5,0.141,4.2,0.1,4.3,0.8,
85,Luguentz Dort,25,OKC,SF,50,50,1451,11.7,0.586,0.681,0.098,5.3,10.1,7.7,7.1,1.8,2.2,7.6,13.5,1.9,2.5,4.4,0.145,-0.6,1,0.3,0.9,
86,Corey Kispert,25,WAS,SF,49,0,1313,11.2,0.586,0.582,0.134,2.6,9.5,6,9.2,0.9,0.7,9.6,17.2,0.9,-0.1,0.9,0.031,-1.4,-2.2,-3.6,-0.6,
87,Royce O'Neale,31,PHO,SF,48,15,1240,12.7,0.586,0.738,0.058,3.5,17.4,10.7,11.5,1.8,1.9,9.9,15.5,1.1,1,2.1,0.08,0,0,0,0.6,
88,Brice Sensabaugh,21,UTA,SF,44,1,760,12.5,0.586,0.608,0.137,3.9,11.7,7.9,11,1.7,0.4,14.6,21.6,0.3,0.2,0.5,0.032,-0.6,-1.6,-2.2,0,
89,Zion Williamson,24,NOP,PF,18,18,507,26.9,0.586,0.039,0.502,10.1,18.6,14.2,35,2.2,3.1,13,35.8,1,0.3,1.3,0.125,4.9,0.4,5.2,0.9,
90,Deni Avdija,24,POR,SF,52,34,1490,15.7,0.585,0.418,0.424,4.5,20,12.1,18,1.7,1.7,16.6,21.8,1.4,1.4,2.7,0.087,0.2,0.2,0.5,0.9,
91,Tyus Jones,28,PHO,PG,53,53,1570,14.2,0.585,0.556,0.098,2.2,6.8,4.6,28.7,1.5,0.4,12.8,16.2,2.8,0.3,3.1,0.095,1.1,-1.5,-0.4,0.6,
92,Lauri Markkanen,27,UTA,PF,41,41,1317,16.7,0.583,0.566,0.286,5.6,15.1,10.4,8,1.2,1.2,7.7,23.8,2.3,0.4,2.6,0.096,2.5,-2,0.5,0.8,
93,Deandre Ayton,26,POR,C,40,40,1206,17.9,0.583,0.068,0.128,11.1,26.1,18.4,8.7,1.3,3,12.2,19.7,1.3,1.3,2.6,0.104,-0.3,-0.7,-1,0.3,
94,Jaylen Wells,21,MEM,SG,54,49,1394,11.3,0.58,0.552,0.187,4.6,8.4,6.5,8.2,1.1,0.4,8.9,16.4,1.8,1.1,2.9,0.101,-0.6,-0.9,-1.4,0.2,
95,Luka Dončić,25,2TM,PG,24,24,832,23.8,0.579,0.46,0.312,2.4,22.2,12.5,35.8,2.6,1.1,12.6,33,1.6,1.2,2.8,0.162,5,1.2,6.1,1.7,
96,Coby White,24,CHI,SG,48,48,1563,13.5,0.579,0.576,0.234,1.1,9.4,5.3,20,1.3,0.6,13.3,23.3,1.1,0.6,1.7,0.051,-0.5,-2,-2.4,-0.2,
97,Mikal Bridges,28,NYK,SF,54,54,2061,13.4,0.578,0.432,0.078,2.7,6.7,4.7,11.9,1.3,1.3,8.9,19,2.4,1.1,3.4,0.079,0.4,-1.3,-1,0.5,
98,Julius Randle,30,MIN,PF,48,48,1564,17.2,0.578,0.328,0.37,7.3,16.9,12.2,21.8,1.1,0.7,14.8,25.4,2.3,1.9,4.2,0.128,1.1,-0.2,0.9,1.2,
99,Clint Capela,30,ATL,C,45,41,1010,17.8,0.577,0,0.258,15.3,28.4,21.6,7.7,1.2,4.1,10.7,16.6,1.5,1.3,2.8,0.133,-0.7,-0.4,-1.1,0.2,
100,Nickeil Alexander-Walker,26,MIN,SG,56,8,1370,10.7,0.577,0.615,0.141,2.7,11.1,7,14.6,1.2,1.2,14.1,15.8,1,1.5,2.5,0.087,-1.4,0.3,-1,0.3,
101,DeMar DeRozan,35,SAC,SF,50,50,1799,17.3,0.576,0.173,0.329,1.6,10.3,5.9,15.6,1.3,1.2,6.7,24.1,3.4,1.1,4.5,0.12,0.6,-1,-0.4,0.7,
102,Julian Champagnie,23,SAS,SF,52,26,1283,11.5,0.575,0.732,0.124,3.3,13.6,8.5,6.9,1.6,1.5,10.2,16.6,0.6,1,1.6,0.06,-0.9,-0.6,-1.5,0.2,
,League Average,,,,,,,,0.574,0.42,0.245,5,15,10,16.3,1.7,1.9,12.2,19.9,,,,,,,,,
103,Jamal Murray,27,DEN,PG,48,48,1728,17.5,0.574,0.342,0.214,2,9.6,6,23.3,1.9,1.3,10.5,24,3,1.3,4.3,0.12,1.3,-0.9,0.4,1.1,
104,Jordan Poole,25,WAS,SG,47,47,1475,15.8,0.574,0.576,0.268,1.6,9.3,5.4,25.7,2.2,1.4,15.5,29,0.4,0.5,0.9,0.029,1.2,-1.6,-0.4,0.6,
105,Tyrese Maxey,24,PHI,PG,46,46,1748,20.8,0.574,0.447,0.269,0.8,10.2,5.3,28.8,2.4,1,9.6,30.9,3.1,1.3,4.3,0.119,3.9,-0.9,3,2.2,
106,Duncan Robinson,30,MIA,SF,50,30,1207,11.4,0.573,0.722,0.084,1.2,9.1,5.2,16.8,1.1,0.4,10.7,19.1,0.7,0.9,1.6,0.064,-1.1,-1.1,-2.2,-0.1,
107,Chris Paul,39,SAS,PG,52,52,1511,15.5,0.573,0.646,0.193,1.7,12.8,7.3,37.3,2.2,0.6,15.8,14,3.2,1.3,4.5,0.144,0.5,0.8,1.3,1.3,
108,Yves Missi,20,NOP,C,52,46,1408,14.8,0.572,0.003,0.409,13.2,18.9,16,7.1,1,5,13.6,13.4,1.8,0.7,2.5,0.084,-2,-1.3,-3.3,-0.5,
109,Moses Moody,22,GSW,SG,47,7,913,12.3,0.571,0.605,0.221,3,9.6,6.2,8.3,1.4,1.9,7.8,18.8,0.8,0.8,1.6,0.085,-0.8,-0.5,-1.3,0.2,
110,Franz Wagner,23,ORL,SF,36,36,1189,22.2,0.57,0.323,0.293,3.3,17.5,9.9,29.5,2.1,1.2,9.5,32.1,2.1,1.9,4,0.16,4,1,5,2.1,
111,Tim Hardaway Jr.,32,DET,SG,51,51,1447,9.2,0.569,0.667,0.226,0.8,8.2,4.5,7.5,0.8,0.2,7.3,14.9,1.3,0.8,2.1,0.069,-1.7,-1.1,-2.8,-0.3,
112,Jalen Johnson,23,ATL,SF,36,36,1284,17.3,0.569,0.26,0.232,5.1,25.7,15.1,21.1,2,2.6,15.1,22.4,0.8,1.7,2.4,0.091,0.3,1.3,1.6,1.2,
113,Jaden Ivey,22,DET,SG,30,30,898,15,0.569,0.373,0.281,5,10.3,7.6,20.1,1.5,1.2,16.1,26.1,0.4,0.8,1.2,0.064,0.7,-1,-0.3,0.4,
114,De'Aaron Fox,27,2TM,PG,50,50,1842,18.9,0.568,0.319,0.286,2.9,11.6,7.2,26.7,2,1,11.7,28.3,2.7,1.5,4.2,0.109,1.8,-0.9,0.9,1.4,
115,Peyton Watson,22,DEN,SF,48,12,1158,11.9,0.568,0.316,0.34,3.9,11.3,7.8,7.5,1.7,4.5,11.2,14,0.9,1.2,2,0.085,-1.6,0.5,-1.1,0.3,
116,Jabari Smith Jr.,21,HOU,PF,33,33,1021,12.4,0.568,0.505,0.24,6,16.7,11.2,4.4,0.6,2.8,8,15.2,1.3,1.3,2.7,0.126,-0.6,0.3,-0.3,0.4,
