PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
11,Victor Wembanyama,SAS,21,30,16,14,33.1,25.7,9.3,19.2,48.3,3.3,9.3,35.4,3.9,4.4,87.9,1.8,8.9,10.7,3.8,3.6,1.0,3.9,2.2,55.4,14.0,1.0
12,Jalen Brunson,NYK,28,35,23,12,35.0,25.4,8.7,18.0,48.2,2.4,6.1,39.1,5.7,6.9,82.5,0.5,2.5,2.9,7.7,2.4,0.8,0.1,2.2,40.8,7.0,0.0
13,Anthony Edwards,MIN,23,34,17,17,36.3,25.3,8.9,20.1,44.4,4.1,9.9,42.1,3.3,4.1,81.9,0.6,5.0,5.6,3.9,3.1,1.2,0.6,1.9,40.1,1.0,0.0
14,Karl-Anthony Towns,NYK,29,34,23,11,34.6,25.3,9.1,16.5,55.0,2.1,4.9,44.0,4.9,6.0,82.8,3.0,11.0,14.0,3.4,2.6,0.9,0.9,3.6,49.9,30.0,0.0
15,Tyrese Maxey,PHI,24,27,13,14,37.0,25.2,8.6,20.5,42.1,3.1,9.3,34.0,4.8,5.7,84.3,0.2,3.3,3.4,5.5,2.4,2.1,0.4,2.3,42.8,4.0,1.0
16,Damian Lillard,MIL,34,26,13,13,36.5,24.7,7.5,17.5,43.1,3.4,9.3,36.2,6.3,6.8,91.6,0.7,3.7,4.4,7.5,2.9,1.2,0.2,1.9,42.5,7.0,0.0
17,Cam Thomas,BKN,23,19,8,11,32.3,24.7,7.9,17.7,44.8,2.8,7.6,37.5,5.9,6.8,87.6,0.5,3.1,3.6,3.4,2.7,0.7,0.1,1.9,33.7,0.0,0.0
18,Devin Booker,PHX,28,28,14,14,36.3,24.6,7.8,18.1,43.0,2.6,7.6,34.3,6.4,7.1,89.9,1.1,2.7,3.8,6.6,2.3,1.1,0.3,2.2,40.9,3.0,0.0
19,Franz Wagner,ORL,23,25,16,9,33.2,24.4,8.8,18.9,46.5,2.0,6.4,32.1,4.8,5.4,88.1,0.9,4.7,5.6,5.7,2.4,1.7,0.5,2.3,43.8,2.0,0.0
20,Joel Embiid,PHI,30,13,7,6,29.4,24.4,7.6,16.8,45.2,1.2,3.8,32.7,7.9,8.6,92.0,1.7,6.2,7.9,3.8,3.2,0.8,1.0,2.2,42.0,4.0,0.0
21,Kyrie Irving,DAL,32,30,19,11,35.6,24.3,9.0,18.3,49.0,3.1,7.0,44.1,3.3,3.6,89.9,1.0,3.5,4.6,4.9,2.3,1.2,0.4,2.2,39.6,0.0,0.0
22,Jaylen Brown,BOS,28,29,21,8,35.5,24.3,8.9,19.4,46.0,2.3,7.0,32.7,4.1,5.6,74.1,1.5,4.4,5.9,4.6,2.8,1.3,0.3,2.3,40.4,3.0,0.0
23,Cade Cunningham,DET,23,31,16,15,35.7,24.1,9.1,20.1,45.0,2.5,6.5,37.6,3.5,4.5,79.7,1.0,5.7,6.7,9.5,4.3,0.8,0.8,2.9,47.1,16.0,6.0
24,LeBron James,LAL,40,32,18,14,34.9,24.0,9.3,18.3,50.7,2.3,5.8,38.9,3.3,4.3,76.6,0.9,6.7,7.6,8.9,3.7,0.8,0.6,1.4,46.7,16.0,8.0
25,Tyler Herro,MIA,24,33,17,16,35.2,23.8,8.2,17.3,47.5,3.8,9.5,40.3,3.5,4.1,85.9,0.3,5.2,5.5,5.1,2.5,0.7,0.1,1.5,37.9,5.0,0.0
