PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
49,Jalen Johnson,ATL,23,32,17,15,36.4,19.8,7.9,15.4,51.2,1.4,4.2,33.1,2.7,3.5,75.2,1.8,8.3,10.1,5.3,3.0,1.5,1.1,2.0,44.6,18.0,1.0
50,De'Andre Hunter,ATL,27,26,16,10,27.8,19.7,6.4,13.3,47.8,2.8,6.3,43.9,4.2,4.9,85.0,0.7,3.3,4.0,1.4,1.4,0.8,0.1,2.3,28.0,0.0,0.0
51,Pascal Siakam,IND,30,37,19,18,33.4,19.6,7.5,14.5,51.6,1.9,4.4,42.3,2.8,3.7,76.5,1.6,5.7,7.3,3.4,1.3,0.9,0.3,2.8,35.6,6.0,0.0
52,Julius Randle,MIN,30,36,19,17,33.0,19.5,6.7,14.1,47.5,1.7,4.8,35.8,4.4,5.4,82.0,1.9,5.0,6.9,4.4,3.0,0.7,0.2,2.5,34.0,6.0,0.0
53,Cameron Johnson,BKN,28,32,13,19,32.6,19.5,6.4,12.8,49.6,3.3,7.5,43.6,3.5,3.9,89.5,0.8,3.5,4.3,3.0,1.7,0.9,0.4,1.8,31.4,1.0,0.0
54,Jamal Murray,DEN,27,29,15,14,36.8,19.4,7.0,16.2,43.4,2.1,5.7,36.1,3.2,3.8,85.5,0.6,3.6,4.2,6.2,2.2,1.6,0.7,1.8,38.3,4.0,0.0
55,Michael Porter Jr.,DEN,26,35,20,15,34.7,19.0,7.2,13.9,52.1,2.7,6.3,41.9,1.9,2.7,71.3,1.5,5.1,6.6,2.6,1.4,0.7,0.4,2.1,32.7,6.0,0.0
56,Alperen Sengun,HOU,22,36,24,12,31.4,19.0,7.6,15.4,49.0,0.3,1.5,20.4,3.6,4.7,75.3,3.4,7.1,10.4,5.0,2.5,1.3,0.9,2.8,42.9,23.0,3.0
57,Evan Mobley,CLE,23,33,29,4,30.2,18.8,7.3,12.7,57.1,1.2,2.8,41.8,3.2,4.0,78.2,2.1,6.6,8.7,2.8,2.1,1.0,1.5,2.2,38.9,14.0,0.0
58,Mikal Bridges,NYK,28,37,24,13,39.2,18.6,7.7,15.2,50.6,2.4,6.7,34.9,0.8,1.2,70.5,0.9,2.4,3.3,3.2,1.6,1.1,0.5,1.5,30.6,0.0,0.0
59,Anfernee Simons,POR,25,32,10,22,31.9,18.6,6.6,15.4,42.7,2.8,8.0,35.4,2.5,2.8,91.0,0.3,2.4,2.7,5.1,2.5,0.9,0.1,2.0,29.9,1.0,0.0
60,Coby White,CHI,24,34,15,19,32.9,18.5,6.3,14.5,43.2,3.1,8.4,37.3,2.9,3.2,89.0,0.4,3.1,3.4,4.6,2.4,1.1,0.2,2.5,31.1,1.0,0.0
61,Tyrese Haliburton,IND,24,37,19,18,35.1,18.4,6.2,14.2,43.8,3.0,8.5,35.8,2.9,3.4,85.0,0.7,3.0,3.7,8.8,1.8,1.2,0.6,1.4,39.8,13.0,0.0
62,Kristaps Porziņģis,BOS,29,14,8,6,27.9,18.3,6.1,13.3,45.7,1.9,5.6,32.9,4.3,5.1,84.5,1.8,5.0,6.8,1.7,1.0,0.8,1.4,2.4,34.4,1.0,0.0
63,Austin Reaves,LAL,26,31,18,13,34.8,18.3,6.1,14.0,43.8,2.6,7.3,36.1,3.4,4.1,81.3,0.9,3.4,4.3,5.9,2.5,1.1,0.1,2.1,33.3,5.0,1.0
64,John Collins,UTA,27,27,8,19,29.9,17.9,6.6,12.5,52.5,1.4,3.3,43.8,3.4,3.9,86.7,2.3,5.9,8.3,2.5,2.5,1.1,0.9,2.9,35.2,8.0,0.0
65,Shaedon Sharpe,POR,21,27,9,18,31.6,17.9,6.7,14.8,45.3,1.9,6.3,29.4,2.6,3.4,78.0,0.7,3.1,3.7,2.7,1.6,0.9,0.3,1.8,28.1,0.0,0.0
66,Collin Sexton,UTA,26,35,9,26,28.5,17.9,6.4,13.3,48.0,2.0,4.6,43.2,3.1,3.4,90.0,0.9,1.9,2.8,3.9,2.6,0.7,0.1,2.3,27.0,1.0,0.0
67,Miles Bridges,CHA,26,22,5,17,31.1,17.9,6.4,15.4,41.6,1.9,6.7,28.4,3.1,3.5,88.5,0.9,6.9,7.7,3.6,2.0,0.7,0.6,1.5,34.5,3.0,0.0
68,Bradley Beal,PHX,31,25,11,14,33.1,17.8,7.0,14.4,48.5,2.2,5.5,39.1,1.6,2.1,76.9,0.7,2.8,3.5,3.2,2.0,1.1,0.7,2.6,30.3,0.0,0.0
69,Jaden Ivey,DET,22,30,14,16,29.9,17.6,6.3,13.8,46.0,2.1,5.1,40.9,2.8,3.9,73.3,1.3,2.8,4.1,4.0,3.0,0.9,0.4,2.2,29.4,0.0,0.0
70,Jimmy Butler,MIA,35,22,12,10,30.8,17.6,5.8,10.5,55.2,0.5,1.5,37.5,5.4,6.9,78.8,2.3,3.2,5.5,4.7,1.2,1.2,0.4,1.0,34.8,2.0,1.0
71,Gradey Dick,TOR,21,30,5,25,31.7,17.2,5.8,14.2,41.0,2.5,7.0,35.1,3.1,3.4,89.3,0.8,2.7,3.5,2.1,1.7,1.0,0.2,2.4,26.6,0.0,0.0
72,Derrick White,BOS,30,35,26,9,34.3,17.1,5.9,13.1,45.2,3.6,9.1,39.2,1.7,2.1,82.2,0.9,3.6,4.5,4.4,1.7,0.9,1.3,2.1,34.1,1.0,0.0
73,Malik Monk,SAC,26,30,16,14,30.8,17.0,6.0,13.7,43.9,2.4,7.0,34.9,2.6,2.9,88.5,0.3,3.3,3.6,5.2,2.0,0.9,0.5,2.5,31.6,3.0,0.0
74,Jonathan Kuminga,GSW,22,32,18,14,26.0,16.8,6.1,13.2,45.9,1.3,3.6,34.5,3.4,5.3,63.9,1.4,3.6,5.0,2.2,1.6,0.9,0.6,1.9,28.8,2.0,0.0
75,Desmond Bane,MEM,26,28,17,11,29.0,16.7,6.2,13.2,46.8,2.0,5.9,34.8,2.3,2.7,85.3,0.8,5.1,5.9,5.2,2.6,1.2,0.5,2.5,34.0,3.0,0.0
76,Bennedict Mathurin,IND,22,37,19,18,33.0,16.7,5.8,12.4,46.6,1.5,4.0,37.2,3.7,4.4,82.9,1.2,4.9,6.1,1.9,2.1,0.6,0.4,2.7,27.7,6.0,0.0
77,Jalen Suggs,ORL,23,34,19,15,29.0,16.4,5.7,13.9,41.0,2.2,7.0,31.2,2.9,3.1,90.7,0.7,3.4,4.1,3.7,2.9,1.5,1.0,2.7,31.3,0.0,0.0
78,Andrew Wiggins,GSW,29,32,15,17,29.0,16.4,5.8,12.9,45.4,2.1,5.3,39.4,2.7,3.3,79.4,1.5,2.9,4.4,2.3,1.2,0.9,0.8,1.8,29.1,2.0,0.0
79,Chet Holmgren,OKC,22,10,8,2,26.5,16.4,5.6,11.1,50.5,1.4,3.7,37.8,3.8,4.9,77.6,1.6,7.1,8.7,2.0,2.3,0.8,2.6,1.8,37.7,4.0,0.0
80,OG Anunoby,NYK,27,37,24,13,36.5,16.3,6.2,13.1,47.4,2.1,5.9,34.9,1.8,2.3,78.8,1.2,3.7,4.9,1.9,1.3,1.4,0.9,2.4,30.9,0.0,0.0
81,Bam Adebayo,MIA,27,35,18,17,34.4,16.2,6.2,13.6,45.6,0.7,2.6,27.8,3.1,4.3,72.2,2.4,7.5,9.8,4.6,2.1,1.5,0.8,2.1,39.8,19.0,1.0
82,Paul George,PHI,34,24,12,12,32.0,16.2,5.8,14.1,41.4,2.2,6.5,33.5,2.3,2.9,81.2,0.7,4.9,5.6,4.6,2.6,1.8,0.4,2.5,33.8,1.0,0.0
83,Dejounte Murray,NOP,28,20,4,16,33.7,16.1,6.1,16.0,37.9,1.3,5.3,24.8,2.7,3.4,80.6,0.5,5.9,6.4,7.9,3.8,2.5,0.5,2.3,40.7,6.0,1.0
84,Jordan Clarkson,UTA,32,22,6,16,25.6,16.0,5.4,13.0,41.5,1.9,5.5,34.2,3.3,4.1,81.1,0.6,2.7,3.4,3.8,2.5,0.9,0.3,1.5,26.8,0.0,0.0
85,Malik Beasley,DET,28,36,18,18,28.2,16.0,5.6,13.4,41.8,3.7,9.3,39.6,1.1,1.6,70.2,0.6,2.5,3.1,1.8,1.1,0.9,0.1,1.3,24.1,1.0,0.0
86,Keyonte George,UTA,21,28,6,22,31.5,15.6,5.3,13.4,39.5,2.7,7.6,35.0,2.4,3.0,79.8,0.4,2.9,3.4,5.7,3.3,0.8,0.2,1.8,27.7,1.0,0.0
87,Dennis Schröder,GSW,31,34,13,21,31.7,15.5,5.4,12.9,41.6,2.1,6.0,35.5,2.6,3.1,85.7,0.3,2.5,2.8,6.0,2.4,0.9,0.1,2.4,28.7,4.0,0.0
88,Devin Vassell,SAS,24,21,10,11,28.8,15.4,5.9,13.3,43.9,2.0,5.7,34.2,1.8,2.2,78.7,0.9,2.6,3.5,3.1,1.6,1.2,0.5,1.6,27.6,0.0,0.0
89,Jared McCain,PHI,20,23,7,16,25.7,15.3,5.5,11.9,46.0,2.2,5.8,38.3,2.1,2.4,87.5,0.6,1.9,2.4,2.6,1.6,0.7,0.0,1.6,22.5,1.0,0.0
90,Jakob Poeltl,TOR,29,31,8,23,31.9,15.3,6.5,10.8,60.6,0.0,0.1,0.0,2.2,3.2,68.4,3.7,6.9,10.6,2.6,2.1,1.2,1.3,3.5,37.1,14.0,0.0
91,Myles Turner,IND,28,35,18,17,31.3,15.1,5.6,11.3,49.2,1.9,4.9,39.3,2.0,2.8,72.4,1.4,5.6,7.0,1.6,2.1,0.8,2.1,2.8,32.5,6.0,0.0
92,Ivica Zubac,LAC,27,36,20,16,32.2,15.1,6.8,11.1,61.6,0.0,0.0,0.0,1.5,2.8,52.0,3.9,8.8,12.6,2.5,1.8,0.7,1.2,2.0,37.7,24.0,0.0
93,Kyle Kuzma,WAS,29,17,2,15,26.4,15.1,6.2,13.7,45.5,1.1,4.2,26.8,1.5,2.5,58.1,0.6,4.8,5.4,2.1,2.2,0.6,0.2,1.6,25.1,1.0,0.0
94,Jerami Grant,POR,30,29,10,19,32.7,15.0,4.9,12.7,38.2,2.4,6.4,38.2,2.8,3.4,82.0,0.5,3.1,3.6,2.3,1.4,0.9,1.0,2.3,27.0,0.0,0.0
95,Fred VanVleet,HOU,30,34,22,12,35.5,14.9,5.2,13.8,38.0,2.5,7.8,31.8,2.0,2.5,81.0,0.8,3.5,4.3,6.0,1.5,1.6,0.5,2.4,34.0,4.0,0.0
96,Payton Pritchard,BOS,26,37,27,10,27.9,14.8,5.1,10.9,46.7,3.5,8.3,42.0,1.1,1.4,84.0,1.4,2.3,3.7,3.4,1.0,0.9,0.1,1.6,26.5,3.0,0.0
97,Immanuel Quickley,TOR,25,6,1,5,27.2,14.8,5.0,14.2,35.3,1.8,6.2,29.7,3.0,3.2,94.7,0.2,2.3,2.5,6.8,1.7,0.7,0.0,2.2,28.4,2.0,0.0
98,Deandre Ayton,POR,26,26,8,18,30.5,14.3,6.7,11.8,56.9,0.2,1.1,21.4,0.7,1.1,62.1,2.8,7.3,10.2,1.5,1.8,0.8,1.0,2.3,32.4,15.0,0.0
99,Josh Hart,NYK,29,36,23,13,37.7,14.3,5.4,9.5,56.3,1.3,3.6,37.2,2.2,2.7,81.4,1.9,7.2,9.1,5.6,1.9,1.4,0.4,2.5,37.2,16.0,4.0
100,Klay Thompson,DAL,34,32,17,15,27.8,14.2,5.1,12.2,41.4,3.1,7.9,38.7,1.0,1.1,91.4,0.6,2.8,3.4,1.9,1.3,0.9,0.4,1.3,23.9,0.0,0.0
101,Bobby Portis,MIL,29,33,17,16,25.4,14.1,5.8,12.2,47.4,1.5,3.7,39.0,1.1,1.4,80.0,1.8,6.2,8.0,2.2,1.3,0.8,0.5,1.7,29.6,6.0,0.0
102,Tre Mann,CHA,23,13,6,7,24.5,14.1,5.4,12.4,43.5,1.8,4.6,40.0,1.5,1.6,90.5,0.9,2.0,2.9,3.0,1.9,0.5,0.3,1.8,22.7,0.0,0.0
103,Malcolm Brogdon,WAS,32,18,3,15,24.8,13.8,4.8,10.8,44.3,0.8,2.7,31.3,3.4,3.9,88.6,0.9,3.1,4.1,3.9,1.7,0.6,0.3,1.4,25.4,2.0,0.0
104,Christian Braun,DEN,23,34,19,15,33.6,13.8,5.3,9.6,55.4,0.9,2.6,36.0,2.2,2.8,80.0,1.2,3.6,4.7,2.2,1.1,1.2,0.6,2.3,27.2,0.0,0.0
105,Deni Avdija,POR,24,35,12,23,27.6,13.7,4.6,10.0,45.7,1.5,4.1,35.4,3.1,3.9,79.7,1.3,4.9,6.1,3.2,2.4,1.0,0.6,2.2,28.3,4.0,0.0
105,Jarrett Allen,CLE,26,35,31,4,29.0,13.7,5.7,8.2,69.6,0.0,0.0,0.0,2.4,3.3,72.8,2.4,7.7,10.1,1.8,1.1,1.0,0.9,1.3,33.1,20.0,0.0
107,Aaron Gordon,DEN,29,17,10,7,28.7,13.7,4.8,9.1,52.3,1.3,2.9,44.0,2.9,3.8,75.4,1.9,3.9,5.8,3.1,1.4,0.5,0.2,1.8,25.8,2.0,0.0
108,Dillon Brooks,HOU,28,33,22,11,31.7,13.6,4.9,11.7,42.1,2.3,6.0,38.9,1.5,1.7,87.3,1.3,2.6,3.9,1.5,1.0,0.7,0.3,3.4,22.4,0.0,0.0
109,Tobias Harris,DET,32,34,17,17,32.0,13.4,5.0,11.1,44.6,1.5,4.2,35.2,2.0,2.3,86.1,1.1,5.5,6.6,2.4,1.2,0.8,0.8,2.0,28.5,4.0,0.0
110,Jeremy Sochan,SAS,21,22,9,13,29.0,13.4,5.3,10.0,53.0,0.5,1.8,28.2,2.3,3.2,72.9,2.7,5.4,8.0,2.6,1.8,0.9,0.6,2.4,29.7,6.0,0.0
111,Kelly Oubre Jr.,PHI,29,31,13,18,32.6,13.2,5.0,11.0,45.7,1.2,4.3,28.6,1.9,2.6,72.8,1.6,4.2,5.8,1.5,1.3,1.4,0.5,2.8,26.8,4.0,0.0
112,P.J. Washington,DAL,26,30,20,10,32.2,13.1,4.8,11.0,43.8,1.6,4.2,38.6,1.8,2.5,74.3,1.4,6.1,7.5,2.1,1.7,1.2,1.0,2.1,30.2,8.0,0.0
113,Santi Aldama,MEM,23,31,21,10,25.7,13.0,5.1,10.0,50.8,1.7,4.5,38.8,1.1,1.4,76.7,1.5,5.7,7.3,3.0,1.2,0.9,0.5,1.0,29.3,8.0,0.0
114,Dyson Daniels,ATL,21,33,17,16,33.3,12.9,5.5,12.1,45.1,1.2,3.8,31.5,0.8,1.4,58.7,1.5,3.4,5.0,3.6,1.8,3.1,0.9,2.4,34.5,1.0,0.0
115,Moritz Wagner,ORL,27,30,18,12,18.8,12.9,4.7,8.3,56.2,0.9,2.5,36.0,2.6,3.7,71.8,1.3,3.6,4.9,1.4,1.6,0.8,0.4,1.8,22.9,1.0,0.0
116,Bilal Coulibaly,WAS,20,30,6,24,33.7,12.8,4.6,10.7,42.9,1.1,3.8,28.9,2.5,3.2,78.9,1.4,4.1,5.5,3.5,2.1,1.4,0.8,2.4,29.0,1.0,0.0
117,Naz Reid,MIN,25,36,19,17,24.9,12.7,4.8,10.3,46.0,1.7,4.9,35.0,1.5,1.9,79.1,0.9,4.3,5.2,1.7,1.3,0.7,0.8,2.5,24.6,2.0,0.0
118,Khris Middleton,MIL,33,12,6,6,23.8,12.7,4.6,10.3,44.7,1.6,3.9,40.4,1.9,2.3,85.2,0.3,4.1,4.4,5.0,2.3,0.8,0.2,2.6,26.2,0.0,0.0
119,Ayo Dosunmu,CHI,24,30,13,17,30.8,12.6,4.9,10.0,49.0,1.3,4.2,32.0,1.4,1.8,79.6,0.6,3.3,3.9,4.8,1.3,0.8,0.5,2.3,27.0,1.0,1.0
120,Amen Thompson,HOU,21,34,23,11,28.6,12.5,4.9,8.6,56.7,0.3,1.3,24.4,2.4,3.5,69.5,2.6,5.0,7.6,2.3,1.9,1.1,1.0,2.3,29.7,9.0,0.0
121,Russell Westbrook,DEN,36,35,20,15,27.0,12.4,4.6,10.1,45.6,1.2,3.6,32.5,2.1,3.2,63.7,1.2,3.6,4.8,6.6,2.8,1.7,0.5,2.6,32.1,6.0,2.0
122,D'Angelo Russell,BKN,28,32,17,15,26.0,12.4,4.4,10.6,41.9,1.8,5.6,32.8,1.7,2.0,85.7,0.3,2.4,2.7,5.0,1.8,0.9,0.2,1.8,24.5,2.0,0.0
123,Jrue Holiday,BOS,34,31,23,8,30.8,12.2,4.4,9.8,45.2,1.9,5.5,34.3,1.5,1.6,90.2,1.1,3.1,4.2,4.0,1.4,1.0,0.4,1.5,26.1,0.0,0.0
124,Mark Williams,CHA,23,13,1,12,20.1,12.2,4.8,7.8,61.8,0.0,0.1,0.0,2.5,3.0,82.1,2.4,5.3,7.7,2.0,1.1,0.5,0.9,2.2,27.7,2.0,0.0
